Year,Month,Nino34
2000.0,Jan,24.78
2001.0,Jan,25.81
2002.0,Jan,26.39
2003.0,Jan,27.15
2004.0,Jan,26.81
2005.0,Jan,27.21
2006.0,Jan,25.63
2007.0,Jan,27.24
2008.0,Jan,24.86
2009.0,Jan,25.66
2010.0,Jan,28.07
2011.0,Jan,25.0
2012.0,Jan,25.67
2013.0,Jan,26.01
2014.0,Jan,26.05
2015.0,Jan,27.05
2016.0,Jan,29.11
2017.0,Jan,26.12
2018.0,Jan,25.57
2019.0,Jan,27.19
2020.0,Jan,27.15
2021.0,Jan,25.55
2022.0,Jan,25.6
2023.0,Jan,25.83
2024.0,Jan,28.35
2025.0,Jan,25.8
2000.0,Feb,25.21
2001.0,Feb,26.12
2002.0,Feb,26.71
2003.0,Feb,27.39
2004.0,Feb,26.98
2005.0,Feb,27.11
2006.0,Feb,26.08
2007.0,Feb,26.88
2008.0,Feb,25.08
2009.0,Feb,25.96
2010.0,Feb,28.01
2011.0,Feb,25.64
2012.0,Feb,26.08
2013.0,Feb,26.24
2014.0,Feb,26.14
2015.0,Feb,27.17
2016.0,Feb,29.01
2017.0,Feb,26.67
2018.0,Feb,25.97
2019.0,Feb,27.46
2020.0,Feb,27.12
2021.0,Feb,25.75
2022.0,Feb,25.86
2023.0,Feb,26.29
2024.0,Feb,28.27
2025.0,Feb,26.32
2000.0,Mar,26.3
2001.0,Mar,26.8
2002.0,Mar,27.29
2003.0,Mar,27.65
2004.0,Mar,27.4
2005.0,Mar,27.73
2006.0,Mar,26.57
2007.0,Mar,27.1
2008.0,Mar,26.07
2009.0,Mar,26.59
2010.0,Mar,28.18
2011.0,Mar,26.36
2012.0,Mar,26.67
2013.0,Mar,27.03
2014.0,Mar,27.0
2015.0,Mar,27.75
2016.0,Mar,28.9
2017.0,Mar,27.32
2018.0,Mar,26.48
2019.0,Mar,28.09
2020.0,Mar,27.76
2021.0,Mar,26.48
2022.0,Mar,26.31
2023.0,Mar,27.17
2024.0,Mar,28.41
2025.0,Mar,27.29
2000.0,Apr,26.95
2001.0,Apr,27.33
2002.0,Apr,27.84
2003.0,Apr,27.68
2004.0,Apr,27.89
2005.0,Apr,28.08
2006.0,Apr,27.5
2007.0,Apr,27.5
2008.0,Apr,26.83
2009.0,Apr,27.47
2010.0,Apr,28.2
2011.0,Apr,27.05
2012.0,Apr,27.32
2013.0,Apr,27.57
2014.0,Apr,27.9
2015.0,Apr,28.52
2016.0,Apr,28.72
2017.0,Apr,28.03
2018.0,Apr,27.31
2019.0,Apr,28.44
2020.0,Apr,28.18
2021.0,Apr,27.1
2022.0,Apr,26.7
2023.0,Apr,27.96
2024.0,Apr,28.59
2025.0,Apr,27.68
2000.0,May,27.07
2001.0,May,27.6
2002.0,May,28.24
2003.0,May,27.32
2004.0,May,28.0
2005.0,May,28.24
2006.0,May,27.85
2007.0,May,27.46
2008.0,May,27.09
2009.0,May,27.99
2010.0,May,27.71
2011.0,May,27.41
2012.0,May,27.61
2013.0,May,27.53
2014.0,May,28.25
2015.0,May,28.85
2016.0,May,28.23
2017.0,May,28.3
2018.0,May,27.73
2019.0,May,28.48
2020.0,May,27.66
2021.0,May,27.47
2022.0,May,26.82
2023.0,May,28.39
2024.0,May,28.16
2025.0,May,27.8
2000.0,Jun,26.94
2001.0,Jun,27.54
2002.0,Jun,28.44
2003.0,Jun,27.44
2004.0,Jun,27.86
2005.0,Jun,27.77
2006.0,Jun,27.73
2007.0,Jun,27.37
2008.0,Jun,27.04
2009.0,Jun,28.04
2010.0,Jun,27.04
2011.0,Jun,27.35
2012.0,Jun,27.75
2013.0,Jun,27.3
2014.0,Jun,27.96
2015.0,Jun,28.9
2016.0,Jun,27.69
2017.0,Jun,28.06
2018.0,Jun,27.77
2019.0,Jun,28.18
2020.0,Jun,27.39
2021.0,Jun,27.45
2022.0,Jun,26.98
2023.0,Jun,28.57
2024.0,Jun,27.9
2025.0,Jun,27.66
2000.0,Jul,26.63
2001.0,Jul,27.25
2002.0,Jul,28.03
2003.0,Jul,27.5
2004.0,Jul,27.78
2005.0,Jul,27.06
2006.0,Jul,27.3
2007.0,Jul,26.71
2008.0,Jul,26.99
2009.0,Jul,27.78
2010.0,Jul,26.22
2011.0,Jul,26.87
2012.0,Jul,27.54
2013.0,Jul,26.91
2014.0,Jul,27.23
2015.0,Jul,28.75
2016.0,Jul,26.82
2017.0,Jul,27.54
2018.0,Jul,27.42
2019.0,Jul,27.64
2020.0,Jul,26.99
2021.0,Jul,26.9
2022.0,Jul,26.6
2023.0,Jul,28.32
2024.0,Jul,27.34
2025.0,Jul,27.15
2000.0,Aug,26.37
2001.0,Aug,26.8
2002.0,Aug,27.72
2003.0,Aug,27.11
2004.0,Aug,27.62
2005.0,Aug,26.8
2006.0,Aug,27.16
2007.0,Aug,26.14
2008.0,Aug,26.72
2009.0,Aug,27.42
2010.0,Aug,25.47
2011.0,Aug,26.21
2012.0,Aug,27.32
2013.0,Aug,26.47
2014.0,Aug,26.82
2015.0,Aug,28.79
2016.0,Aug,26.28
2017.0,Aug,26.7
2018.0,Aug,26.94
2019.0,Aug,26.9
2020.0,Aug,26.26
2021.0,Aug,26.32
2022.0,Aug,25.88
2023.0,Aug,28.2
2024.0,Aug,26.73
2025.0,Aug,26.49
2000.0,Sep,26.2
2001.0,Sep,26.52
2002.0,Sep,27.81
2003.0,Sep,26.99
2004.0,Sep,27.53
2005.0,Sep,26.68
2006.0,Sep,27.32
2007.0,Sep,25.61
2008.0,Sep,26.47
2009.0,Sep,27.4
2010.0,Sep,25.12
2011.0,Sep,25.92
2012.0,Sep,27.1
2013.0,Sep,26.54
2014.0,Sep,27.01
2015.0,Sep,28.93
2016.0,Sep,26.14
2017.0,Sep,26.29
2018.0,Sep,27.19
2019.0,Sep,26.75
2020.0,Sep,25.89
2021.0,Sep,26.17
2022.0,Sep,25.65
2023.0,Sep,28.32
2024.0,Sep,26.45
2025.0,Sep,26.25
2000.0,Oct,26.02
2001.0,Oct,26.57
2002.0,Oct,27.96
2003.0,Oct,27.14
2004.0,Oct,27.44
2005.0,Oct,26.65
2006.0,Oct,27.41
2007.0,Oct,25.32
2008.0,Oct,26.37
2009.0,Oct,27.6
2010.0,Oct,25.03
2011.0,Oct,25.67
2012.0,Oct,26.98
2013.0,Oct,26.52
2014.0,Oct,27.16
2015.0,Oct,29.08
2016.0,Oct,25.98
2017.0,Oct,26.15
2018.0,Oct,27.62
2019.0,Oct,27.2
2020.0,Oct,25.46
2021.0,Oct,25.77
2022.0,Oct,25.73
2023.0,Oct,28.44
2024.0,Oct,26.44
2025.0,Oct,26.22
2000.0,Nov,25.92
2001.0,Nov,26.33
2002.0,Nov,28.17
2003.0,Nov,27.04
2004.0,Nov,27.36
2005.0,Nov,26.11
2006.0,Nov,27.69
2007.0,Nov,25.17
2008.0,Nov,26.25
2009.0,Nov,28.16
2010.0,Nov,25.06
2011.0,Nov,25.52
2012.0,Nov,26.86
2013.0,Nov,26.56
2014.0,Nov,27.46
2015.0,Nov,29.42
2016.0,Nov,25.94
2017.0,Nov,25.74
2018.0,Nov,27.61
2019.0,Nov,27.22
2020.0,Nov,25.28
2021.0,Nov,25.76
2022.0,Nov,25.8
2023.0,Nov,28.72
2024.0,Nov,26.45
2025.0,Nov,26.01
2000.0,Dec,25.68
2001.0,Dec,26.19
2002.0,Dec,27.97
2003.0,Dec,27.03
2004.0,Dec,27.34
2005.0,Dec,25.68
2006.0,Dec,27.74
2007.0,Dec,25.01
2008.0,Dec,25.74
2009.0,Dec,28.34
2010.0,Dec,25.0
2011.0,Dec,25.54
2012.0,Dec,26.34
2013.0,Dec,26.43
2014.0,Dec,27.31
2015.0,Dec,29.26
2016.0,Dec,26.1
2017.0,Dec,25.62
2018.0,Dec,27.49
2019.0,Dec,27.12
2020.0,Dec,25.44
2021.0,Dec,25.54
2022.0,Dec,25.75
2023.0,Dec,28.62
2024.0,Dec,26.0
2025.0,Dec,25.93
